DateTime,PlayersCount
2005-12-31,26
2006-01-01,97322
2006-01-02,82668
2006-01-03,68720
2006-01-04,81508
2006-01-05,71252
2006-01-06,23068
2006-01-07,31981
2006-01-08,23990
2006-01-09,22086
2006-01-10,26670
2006-01-11,16458
2006-01-12,32040
2006-01-13,73658
2006-01-14,91310
2006-01-15,67302
2006-01-16,53358
2006-01-17,75356
2006-01-18,77582
2006-01-19,64232
2006-01-20,75114
2006-01-21,90936
2006-01-22,89278
2006-01-23,75138
2006-01-24,74642
2006-01-25,76080
2006-01-26,58596
2006-01-27,69946
2006-01-28,73060
2006-01-29,78266
2006-01-30,74252
2006-01-31,78770
2006-02-01,76192
2006-02-02,71166
2006-02-03,54542
2006-02-04,85240
2006-02-05,57934
2006-02-06,27310
2006-02-07,34405
2006-02-08,24662
2006-02-09,29585
2006-02-10,17459
2006-02-11,51
2006-02-12,43890
2006-02-13,74862
2006-02-14,73938
2006-02-15,73322
2006-02-16,59084
2006-02-17,73900
2006-02-18,95176
2006-02-19,101854
2006-02-20,70978
2006-02-21,70478
2006-02-22,73042
2006-02-23,59844
2006-02-24,72134
2006-02-25,95104
2006-02-26,97748
2006-02-27,72622
2006-02-28,99760
2006-03-01,74092
2006-03-02,82488
2006-03-03,65238
2006-03-04,60976
2006-03-05,56444
2006-03-06,36798
2006-03-07,24961
2006-03-08,21544
2006-03-09,32502
2006-03-10,17511
2006-03-11,18790
2006-03-12,44252
2006-03-13,47214
2006-03-14,62610
2006-03-15,61944
2006-03-16,51456
2006-03-17,63582
2006-03-18,84300
2006-03-19,88742
2006-03-20,35594
2006-03-21,44916
2006-03-22,61460
2006-03-23,53128
2006-03-24,67104
2006-03-25,85984
2006-03-26,95162
2006-03-27,68346
2006-03-28,64304
2006-03-29,60192
2006-03-30,43788
2006-03-31,65618
2006-04-01,72158
2006-04-02,85492
2006-04-03,80928
2006-04-04,65864
2006-04-05,48230
2006-04-06,39921
2006-04-07,24909
2006-04-08,24785
2006-04-09,23953
2006-04-10,17848
2006-04-11,47713
2006-04-12,32432
2006-04-13,50544
2006-04-14,63162
2006-04-15,90282
2006-04-16,85568
2006-04-17,60558
2006-04-18,60138
2006-04-19,59342
2006-04-20,51834
2006-04-21,22934
2006-04-23,56892
2006-04-24,59648
2006-04-25,62820
2006-04-26,62676
2006-04-27,50978
2006-04-28,60162
2006-04-29,75896
2006-04-30,80474
2006-05-01,38742
2006-05-02,94212
2006-05-03,88364
2006-05-04,88120
2006-05-05,57134
2006-05-06,25843
2006-05-07,23667
2006-05-08,31319
2006-05-09,22299
2006-05-10,14353
2006-05-11,47938
2006-05-12,31610
2006-05-13,52421
2006-05-14,39606
2006-05-15,27986
2006-05-16,28217
2006-05-17,28413
2006-05-18,25092
2006-05-19,27849
2006-05-20,37392
2006-05-21,38686
2006-05-22,26478
2006-05-23,27502
2006-05-24,28008
2006-05-25,21405
2006-05-26,26661
2006-05-27,35753
2006-05-28,38512
2006-05-29,27324
2006-05-30,27677
2006-05-31,40585
2006-06-01,71024
2006-06-02,69990
2006-06-03,62494
2006-06-04,51160
2006-06-05,73024
2006-06-06,26399
2006-06-07,21115
2006-06-08,30919
2006-06-09,21563
2006-06-10,20508
2006-06-11,34186
2006-06-12,31908
2006-06-13,25779
2006-06-14,24242
2006-06-15,19968
2006-06-16,24595
2006-06-17,31648
2006-06-18,33884
2006-06-19,24551
2006-06-20,23812
2006-06-21,22458
2006-06-22,18048
2006-06-23,25537
2006-06-24,33671
2006-06-25,36094
2006-06-26,24848
2006-06-27,24298
2006-06-28,25049
2006-06-29,19884
2006-06-30,24434
2006-07-01,62902
2006-07-02,71942
2006-07-03,61930
2006-07-04,60718
2006-07-05,78692
2006-07-06,25100
2006-07-07,23138
2006-07-08,23404
2006-07-09,18684
2006-07-10,21528
2006-07-11,35081
2006-07-12,27030
2006-07-13,20503
2006-07-14,25982
2006-07-15,32386
2006-07-16,32166
2006-07-17,23757
2006-07-18,23463
2006-07-19,22573
2006-07-20,19076
2006-07-21,19918
2006-07-22,12052
2006-07-23,30769
2006-07-24,23255
2006-07-25,26092
2006-07-26,24569
2006-07-27,21008
2006-07-28,24675
2006-07-29,31114
2006-07-30,32474
2006-07-31,22959
2006-08-01,97216
2006-08-02,71392
2006-08-03,60636
2006-08-04,82932
2006-08-05,57650
2006-08-06,21894
2006-08-07,28473
2006-08-08,24503
2006-08-09,22378
2006-08-10,22845
2006-08-11,33883
2006-08-12,33199
2006-08-13,29991
2006-08-14,21704
2006-08-15,23164
2006-08-16,22474
2006-08-17,19378
2006-08-18,24699
2006-08-19,27256
2006-08-20,32869
2006-08-21,22072
2006-08-22,23299
2006-08-23,24762
2006-08-24,20039
2006-08-25,22877
2006-08-26,29643
2006-08-27,31630
2006-08-28,22391
2006-08-29,20750
2006-08-30,20831
2006-08-31,15968
2006-09-01,69134
2006-09-02,42806
2006-09-03,51052
2006-09-04,84924
2006-09-05,57514
2006-09-06,26486
2006-09-07,32746
2006-09-08,23067
2006-09-09,29079
2006-09-10,20319
2006-09-11,27496
2006-09-12,36641
2006-09-13,20471
2006-09-14,16840
2006-09-15,21380
2006-09-16,29888
2006-09-17,30210
2006-09-18,19720
2006-09-19,19011
2006-09-20,19049
2006-09-21,16246
2006-09-22,18373
2006-09-23,20172
2006-09-24,27304
2006-09-25,18181
2006-09-26,17708
2006-09-27,17544
2006-09-28,13766
2006-09-29,17414
2006-09-30,25563
2006-10-01,68928
2006-10-02,72480
2006-10-03,60906
2006-10-04,62248
2006-10-05,54186
2006-10-06,35218
2006-10-07,24790
2006-10-08,19630
2006-10-09,28590
2006-10-10,26979
2006-10-11,35343
2006-10-12,46937
2006-10-13,17800
2006-10-14,20406
2006-10-15,26943
2006-10-16,16842
2006-10-17,17258
2006-10-18,17658
2006-10-19,15047
2006-10-20,17779
2006-10-21,23955
2006-10-22,26877
2006-10-23,17190
2006-10-24,17303
2006-10-25,16979
2006-10-26,14045
2006-10-27,18180
2006-10-28,24128
2006-10-29,26137
2006-10-30,17621
2006-10-31,17508
2006-11-01,70926
2006-11-02,92586
2006-11-03,79218
2006-11-04,59082
2006-11-05,48930
2006-11-06,36000
2006-11-07,23842
2006-11-08,22821
2006-11-09,21204
2006-11-10,18481
2006-11-11,47116
2006-11-12,31794
2006-11-13,34603
2006-11-14,34009
2006-11-15,33027
2006-11-16,28039
2006-11-17,34283
2006-11-18,42717
2006-11-19,46817
2006-11-20,33479
2006-11-21,31808
2006-11-22,32192
2006-11-23,27577
2006-11-24,31986
2006-11-25,44612
2006-11-26,46603
2006-11-27,32116
2006-11-28,31821
2006-11-29,30450
2006-11-30,26324
2006-12-01,52246
2006-12-02,92276
2006-12-03,32472
2006-12-04,58426
2006-12-05,57750
2006-12-06,26328
2006-12-07,24267
2006-12-08,30409
2006-12-09,20311
2006-12-10,15119
2006-12-11,47235
2006-12-12,32116
2006-12-13,29034
2006-12-14,27356
2006-12-15,33844
2006-12-16,45882
2006-12-17,44345
2006-12-18,31268
2006-12-19,29847
2006-12-20,29934
2006-12-21,24607
2006-12-22,30320
2006-12-23,40684
2006-12-24,40014
2006-12-25,31026
2006-12-26,29731
2006-12-27,25687
2006-12-28,23767
2006-12-29,27561
2006-12-30,36114
2006-12-31,34808
2007-01-01,29813
2007-01-02,24035
2007-01-03,15253
2007-01-04,42944
2007-01-05,57029
2007-01-06,44394
2007-01-07,53769
2007-01-08,40594
2007-01-09,53985
2007-01-10,39660
2007-01-11,33852
2007-01-12,52375
2007-01-13,37422
2007-01-14,40215
2007-01-15,26370
2007-01-16,24266
2007-01-17,27777
2007-01-18,24412
2007-01-19,29984
2007-01-20,30786
2007-01-22,15070
2007-01-23,28509
2007-01-24,29096
2007-01-25,24850
2007-01-26,29538
2007-01-27,37537
2007-01-28,38198
2007-01-29,28722
2007-01-30,27887
2007-01-31,26928
2007-02-01,25494
2007-02-02,27891
2007-02-03,26202
2007-02-04,30512
2007-02-05,43377
2007-02-06,56191
2007-02-07,39783
2007-02-08,36705
2007-02-09,56994
2007-02-10,36964
2007-02-11,37805
2007-02-12,57291
2007-02-13,27896
2007-02-14,26145
2007-02-15,21814
2007-02-16,26449
2007-02-17,26637
2007-02-18,25838
2007-02-19,24670
2007-02-20,27457
2007-02-21,25926
2007-02-22,24787
2007-02-23,31256
2007-02-24,34372
2007-02-25,37222
2007-02-26,25315
2007-02-27,25482
2007-02-28,31041
2007-03-01,27016
2007-03-02,35928
2007-03-03,32198
2007-03-04,46201
2007-03-05,33791
2007-03-06,61974
2007-03-07,39754
2007-03-08,44502
2007-03-09,40799
2007-03-10,37815
2007-03-11,48366
2007-03-12,39888
2007-03-13,24663
2007-03-14,24254
2007-03-15,21329
2007-03-16,26763
2007-03-17,34855
2007-03-18,33146
2007-03-19,25719
2007-03-20,2926
2007-03-24,28186
2007-03-25,43576
2007-03-26,29489
2007-03-27,32250
2007-03-28,30219
2007-03-29,25852
2007-03-30,31137
2007-03-31,41480
2007-04-01,24079
2007-04-02,38379
2007-04-03,38595
2007-04-04,59352
2007-04-05,45315
2007-04-06,44515
2007-04-07,40017
2007-04-08,53169
2007-04-09,39998
2007-04-10,31876
2007-04-11,53452
2007-04-12,38830
2007-04-13,50863
2007-04-14,58366
2007-04-15,65604
2007-04-16,45333
2007-04-17,46944
2007-04-18,45468
2007-04-19,33810
2007-04-20,49611
2007-04-21,62080
2007-04-22,69365
2007-04-23,48652
2007-04-24,47653
2007-04-25,47450
2007-04-26,39886
2007-04-27,48488
2007-04-28,62303
2007-04-29,63914
2007-04-30,47125
2007-05-01,26851
2007-05-02,27055
2007-05-03,26399
2007-05-04,54645
2007-05-05,58420
2007-05-06,45504
2007-05-07,34711
2007-05-08,57361
2007-05-09,40353
2007-05-10,39962
2007-05-11,36385
2007-05-12,38697
2007-05-13,56629
2007-05-14,40207
2007-05-15,39855
2007-05-16,38971
2007-05-17,31896
2007-05-18,40303
2007-05-19,53357
2007-05-20,51911
2007-05-21,42423
2007-05-22,41544
2007-05-23,40713
2007-05-24,25481
2007-05-25,12010
2007-05-31,28583
2007-06-01,37648
2007-06-02,28952
2007-06-03,26263
2007-06-04,63772
2007-06-05,61573
2007-06-06,43306
2007-06-07,40164
2007-06-08,42472
2007-06-09,33927
2007-06-10,60019
2007-06-11,36047
2007-06-12,34221
2007-06-13,41306
2007-06-14,34230
2007-06-15,41600
2007-06-16,53025
2007-06-17,54234
2007-06-18,50684
2007-06-19,53705
2007-06-20,37426
2007-06-21,32325
2007-06-22,26465
2007-06-23,49724
2007-06-24,57460
2007-06-25,39212
2007-06-26,40583
2007-06-27,40147
2007-06-28,34295
2007-06-29,39589
2007-06-30,49629
2007-07-01,39800
2007-07-02,28038
2007-07-03,25086
2007-07-04,63778
2007-07-05,43560
2007-07-06,33750
2007-07-07,49946
2007-07-08,44815
2007-07-09,38442
2007-07-10,57541
2007-07-11,36022
2007-07-12,39979
2007-07-13,38532
2007-07-14,49059
2007-07-15,52595
2007-07-16,39733
2007-07-17,38142
2007-07-18,38926
2007-07-19,33016
2007-07-20,41120
2007-07-21,49483
2007-07-22,52273
2007-07-23,41293
2007-07-24,39842
2007-07-25,41535
2007-07-26,37124
2007-07-27,42637
2007-07-28,51842
2007-07-29,53095
2007-07-30,40563
2007-07-31,40902
2007-08-01,24451
2007-08-02,23604
2007-08-03,21616
2007-08-04,66177
2007-08-05,43239
2007-08-06,45667
2007-08-07,52553
2007-08-08,43066
2007-08-09,46705
2007-08-10,38741
2007-08-11,30608
2007-08-12,53104
2007-08-13,45777
2007-08-14,45888
2007-08-15,45072
2007-08-16,37706
2007-08-17,49044
2007-08-18,56176
2007-08-19,31379
2007-08-20,33255
2007-08-21,43812
2007-08-22,44526
2007-08-23,37182
2007-08-24,44285
2007-08-25,56226
2007-08-26,56983
2007-08-27,37195
2007-08-28,45288
2007-08-29,43688
2007-08-30,36368
2007-08-31,42452
2007-09-01,26474
2007-09-02,28534
2007-09-03,25109
